gene,tissue,matrisome_division,matrisome_category,logFC,adj_p_value
BSPH1,Liver,Core matrisome,ECM Glycoproteins,1.000583,3.43e-05
C1QL4,Liver,Matrisome-associated,ECM-affiliated Proteins,-2.99964,0.000365
C1QTNF4,Liver,Matrisome-associated,ECM-affiliated Proteins,-1.735039,0.0272
C1QTNF8,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.39983,1.96e-08
C1QTNF9B,Liver,Matrisome-associated,Secreted Factors,-3.182507,3.08e-06
CBLN2,Liver,Matrisome-associated,Secreted Factors,0.749,0.0414
CCL15,Liver,Matrisome-associated,Secreted Factors,0.976661,0.0064
CCL17,Liver,Matrisome-associated,Secreted Factors,-0.682819,0.0027
CCL7,Liver,Matrisome-associated,Secreted Factors,-2.026086,0.000189
CCN6,Liver,Core matrisome,ECM Glycoproteins,-2.913824,3.39e-06
CFC1,Liver,Matrisome-associated,Secreted Factors,0.650446,0.00226
CLEC18B,Liver,Matrisome-associated,ECM-affiliated Proteins,-2.771205,0.00012
CLEC4F,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.00083,2.34e-05
COL18A1,Liver,Core matrisome,Collagens,-0.787,0.000286
COL20A1,Liver,Core matrisome,Collagens,-2.150436,0.000327
COL23A1,Liver,Core matrisome,Collagens,1.743492,7.71e-09
COL28A1,Liver,Core matrisome,Collagens,0.907,5.05e-06
COL9A1,Liver,Core matrisome,Collagens,0.754303,0.00295
COL9A2,Liver,Core matrisome,Collagens,-1.01,0.000243
CRELD2,Liver,Core matrisome,ECM Glycoproteins,-1.27,1.43e-11
CRHBP,Liver,Matrisome-associated,Secreted Factors,1.683332,8.89e-08
CRNN,Liver,Matrisome-associated,Secreted Factors,-1.108102,0.00571
CSH2,Liver,Matrisome-associated,Secreted Factors,0.699758,0.000366
CSHL1,Liver,Matrisome-associated,Secreted Factors,1.09962,1.99e-05
CST2,Liver,Matrisome-associated,ECM Regulators,-3.113885,2.38e-06
DHH,Liver,Matrisome-associated,Secreted Factors,1.952425,7.56e-11
EGFL7,Liver,Matrisome-associated,Secreted Factors,1.337483,2.01e-05
EGFLAM,Liver,Core matrisome,ECM Glycoproteins,-2.073368,5.34e-06
ELFN2,Liver,Matrisome-associated,ECM-affiliated Proteins,-4.467915,9.08e-07
EMILIN3,Liver,Core matrisome,ECM Glycoproteins,-3.013404,4.62e-07
F2,Liver,Matrisome-associated,ECM Regulators,-0.817,1.5e-08
FAM20A,Liver,Matrisome-associated,ECM Regulators,1.209657,0.016
FGF17,Liver,Matrisome-associated,Secreted Factors,-0.718,0.00129
FGF21,Liver,Matrisome-associated,Secreted Factors,2.17264,3.97e-09
FGF8,Liver,Matrisome-associated,Secreted Factors,-1.865019,6.88e-05
FGL1,Liver,Core matrisome,ECM Glycoproteins,3.077618,1.59e-08
FREM2,Liver,Matrisome-associated,ECM-affiliated Proteins,-0.974785,0.0123
FST,Liver,Matrisome-associated,Secreted Factors,-1.493792,0.0106
GDF1,Liver,Matrisome-associated,Secreted Factors,0.608433,0.0115
GDF2,Liver,Matrisome-associated,Secreted Factors,0.840384,0.000259
GDF3,Liver,Matrisome-associated,Secreted Factors,-4.02591,8.13e-07
GPC6,Liver,Matrisome-associated,ECM-affiliated Proteins,2.352967,2.27e-12
HGFAC,Liver,Matrisome-associated,Secreted Factors,-0.911,0.000332
HMSD,Liver,Matrisome-associated,ECM Regulators,1.41944,1.05e-07
HSPG2,Liver,Core matrisome,Proteoglycans,3.537156,2.06e-08
IFNA1,Liver,Matrisome-associated,Secreted Factors,0.667123,0.00693
IFNA5,Liver,Matrisome-associated,Secreted Factors,-0.817552,0.000901
IGFBP1,Liver,Core matrisome,ECM Glycoproteins,1.290676,0.000111
IL15,Liver,Matrisome-associated,Secreted Factors,0.777,2.18e-06
IL17C,Liver,Matrisome-associated,Secreted Factors,-1.140955,0.00067
IL17D,Liver,Matrisome-associated,Secreted Factors,-1.121563,0.0011
IL17F,Liver,Matrisome-associated,Secreted Factors,-5.913439,1.2e-11
IL1F10,Liver,Matrisome-associated,Secreted Factors,-2.394433,1.34e-07
INHBE,Liver,Matrisome-associated,Secreted Factors,-0.612,0.0197
INSL3,Liver,Matrisome-associated,Secreted Factors,-1.989981,0.0011
ISM2,Liver,Matrisome-associated,Secreted Factors,-3.659592,4.82e-06
ITIH1,Liver,Matrisome-associated,ECM Regulators,-1.03,8.34e-09
ITIH6,Liver,Matrisome-associated,ECM Regulators,-0.834085,0.00798
KY,Liver,Matrisome-associated,ECM Regulators,-1.859304,0.000168
LGI1,Liver,Core matrisome,ECM Glycoproteins,1.55602,3.69e-07
LOXL4,Liver,Matrisome-associated,ECM Regulators,-0.891,4.52e-06
MASP2,Liver,Matrisome-associated,ECM Regulators,-1.49,5.4e-11
MEGF11,Liver,Matrisome-associated,Secreted Factors,-2.697928,2.88e-08
MUC21,Liver,Matrisome-associated,ECM-affiliated Proteins,-2.671983,1.89e-07
NCAN,Liver,Core matrisome,Proteoglycans,1.705429,2.62e-08
NRG1,Liver,Matrisome-associated,Secreted Factors,-0.982,2.42e-05
NTN3,Liver,Core matrisome,ECM Glycoproteins,-1.154473,0.00136
OGFOD2,Liver,Matrisome-associated,ECM Regulators,-0.818,1.22e-14
OMD,Liver,Core matrisome,Proteoglycans,0.801,2.38e-06
P4HTM,Liver,Matrisome-associated,ECM Regulators,0.628,5.66e-12
PAPLN,Liver,Core matrisome,ECM Glycoproteins,-2.345705,1.16e-05
POMZP3,Liver,Core matrisome,ECM Glycoproteins,0.945199,0.000253
PXDNL,Liver,Core matrisome,ECM Glycoproteins,-1.081609,0.00252
S100A14,Liver,Matrisome-associated,Secreted Factors,1.1,3.09e-10
S100A5,Liver,Matrisome-associated,Secreted Factors,1.217845,9.09e-06
SBSPON,Liver,Core matrisome,ECM Glycoproteins,-1.883044,2.76e-05
SDC1,Liver,Matrisome-associated,ECM-affiliated Proteins,1.522852,1.08e-06
SEMA4F,Liver,Matrisome-associated,ECM-affiliated Proteins,-3.633097,1.07e-06
SERPINA12,Liver,Matrisome-associated,ECM Regulators,-1.34,3.52e-05
SFTPC,Liver,Matrisome-associated,ECM-affiliated Proteins,-0.727,2.41e-10
TCHHL1,Liver,Matrisome-associated,Secreted Factors,-1.471348,0.000235
TGM6,Liver,Matrisome-associated,ECM Regulators,-0.970501,0.000712
THPO,Liver,Matrisome-associated,Secreted Factors,-0.89,2.55e-15
TINAG,Liver,Core matrisome,ECM Glycoproteins,1.31814,3.89e-06
VWA2,Liver,Core matrisome,ECM Glycoproteins,-1.988392,0.000509
VWA7,Liver,Core matrisome,ECM Glycoproteins,-0.614,0.000141
VWC2,Liver,Matrisome-associated,Secreted Factors,-1.081954,0.000452
VWDE,Liver,Core matrisome,ECM Glycoproteins,-0.769589,0.000978
WNT1,Liver,Matrisome-associated,Secreted Factors,-2.582275,3.64e-07
WNT2B,Liver,Matrisome-associated,Secreted Factors,-0.862685,3.32e-05
WNT5B,Liver,Matrisome-associated,Secreted Factors,-2.561424,1.67e-09
ADAMTS8,Lungs,Matrisome-associated,ECM Regulators,0.70582312,1.72e-19
BMP7,Lungs,Matrisome-associated,Secreted Factors,-0.6671825,1.86e-06
C1QTNF2,Lungs,Matrisome-associated,ECM-affiliated Proteins,1.1375536,7.75e-14
CCL11,Lungs,Matrisome-associated,Secreted Factors,3.4295847,2.88e-10
CCL26,Lungs,Matrisome-associated,Secreted Factors,0.8770625,7.08e-07
CLEC4D,Lungs,Matrisome-associated,ECM-affiliated Proteins,1.00555069,1.16e-16
COL6A5,Lungs,Core matrisome,Collagens,-1.0364575,0.00545
COL9A3,Lungs,Core matrisome,Collagens,1.6261753,0.00303
CTF1,Lungs,Matrisome-associated,Secreted Factors,0.852795,2.54e-13
DMBT1,Lungs,Core matrisome,ECM Glycoproteins,-1.4099339,0.015
EDA,Lungs,Matrisome-associated,Secreted Factors,0.8879725,4.48e-08
F10,Lungs,Matrisome-associated,ECM Regulators,1.1777045,3.36e-14
FBLN7,Lungs,Core matrisome,ECM Glycoproteins,0.8157145,7.7e-14
FGFBP1,Lungs,Matrisome-associated,Secreted Factors,-0.8032341,0.000138
FIGF,Lungs,Matrisome-associated,Secreted Factors,1.5504925,0.00146
GDF5,Lungs,Matrisome-associated,Secreted Factors,0.7151827,1.46e-07
GREM1,Lungs,Matrisome-associated,ECM-affiliated Proteins,-0.89250736,4.2e-15
GRIFIN,Lungs,Matrisome-associated,ECM-affiliated Proteins,-0.7593187,0.0236
HRNR,Lungs,Matrisome-associated,Secreted Factors,1.2455439,0.0247
HYAL2,Lungs,Matrisome-associated,ECM Regulators,0.61413001,5.53e-20
IHH,Lungs,Matrisome-associated,Secreted Factors,0.6508995,1.3e-08
IMPG2,Lungs,Core matrisome,Proteoglycans,1.141383,0.00436
KITLG,Lungs,Matrisome-associated,Secreted Factors,-1.4129791,2.84e-12
MFAP3,Lungs,Core matrisome,ECM Glycoproteins,-0.9138027,1.3e-08
MMP15,Lungs,Matrisome-associated,ECM Regulators,0.6305386,1.39e-07
MMRN2,Lungs,Core matrisome,ECM Glycoproteins,0.886555,3.29e-08
MUC1,Lungs,Matrisome-associated,ECM-affiliated Proteins,0.7181027,9.97e-06
NRG4,Lungs,Matrisome-associated,Secreted Factors,-0.66665867,8.86e-10
PLOD1,Lungs,Matrisome-associated,ECM Regulators,0.6261295,1.9e-07
PLXNA2,Lungs,Matrisome-associated,ECM-affiliated Proteins,0.63712,1.1e-06
SERPINA2,Lungs,Matrisome-associated,ECM Regulators,0.6045791,6.67e-07
SERPINI1,Lungs,Matrisome-associated,ECM Regulators,-0.76562733,4.0000000000000004e-21
SFRP2,Lungs,Matrisome-associated,Secreted Factors,-2.60960092,6.459999999999999e-42
SPOCK3,Lungs,Core matrisome,Proteoglycans,-0.82727227,5.25e-11
TNFSF9,Lungs,Matrisome-associated,Secreted Factors,0.6254214,1.37e-09
VWA3A,Lungs,Core matrisome,ECM Glycoproteins,-1.09859102,2.24e-12
VWA5A,Lungs,Core matrisome,ECM Glycoproteins,-0.70535797,2.5000000000000002e-22
XCL2,Lungs,Matrisome-associated,Secreted Factors,1.0516309,2.1e-06
ZP3,Lungs,Core matrisome,ECM Glycoproteins,0.58735,7.48e-07
