gene_symbol,gene_name,matrisome_category,discovery_status,val1_concordant_organs,val1_significant_organs,val2_concordant_organs,val2_significant_organs,val2_survived_before_ml,ml_stability_seeds,ml_diagnostic_auc,final_tier_after_ml,biological_role_and_mechanism
SERPINH1,Serpin Family H Member 1,ECM Regulators,Pass (4/4 Organs),4/4,1/4,4/4,3/4,YES (Replicated in 3/4 organs),0/5,0.6057,Tier 2 (Validation-Only),HSP47; Obligate collagen-specific molecular chaperone in the ER
AEBP1,AE Binding Protein 1,ECM Regulators,Pass (4/4 Organs),4/4,1/4,4/4,4/4,YES (Replicated in 4/4 organs),0/5,0.5968,Tier 2 (Validation-Only),Aortic carboxypeptidase-like protein promoting myofibroblast differentiation
VWF,Von Willebrand Factor,ECM Glycoproteins,Pass (4/4 Organs),4/4,2/4,4/4,3/4,YES (Replicated in 3/4 organs),0/5,0.5706,Tier 2 (Validation-Only),Endothelial adhesin; Upregulated in 3 organs, downregulated in IPF lung
CCL5,C-C Motif Chemokine Ligand 5,Secreted Factors,Pass (4/4 Organs),4/4,2/4,2/4,2/4,YES (Replicated in 2/4 organs),0/5,0.5688,Tier 2 (Validation-Only),RANTES; Chemokine driving T-cell and macrophage tissue infiltration
CCL19,C-C Motif Chemokine Ligand 19,Secreted Factors,Pass (4/4 Organs),4/4,1/4,4/4,3/4,YES (Replicated in 3/4 organs),0/5,0.5687,Tier 2 (Validation-Only),Chemokine guiding tertiary lymphoid organogenesis in chronicity
SVEP1,Sushi Von Willebrand Factor Type A EGF And Pentraxin Domain Containing 1,ECM Glycoproteins,Pass (4/4 Organs),4/4,2/4,2/4,2/4,YES (Replicated in 2/4 organs),1/5,0.5396,Tier 2 (Validation-Only),Multi-domain adhesion protein participating in lymphatic and vascular remodeling
MFAP4,Microfibril Associated Protein 4,ECM Glycoproteins,Pass (4/4 Organs),4/4,1/4,2/4,2/4,YES (Replicated in 2/4 organs),2/5,0.5276,Tier 2 (Validation-Only),Elastin-associated glycoprotein binding collagen and integrins
MDK,Midkine,Secreted Factors,Pass (4/4 Organs),4/4,2/4,2/4,1/4,NO (Failed multi-organ Val 2),2/5,0.7953,Not Supported,Heparin-binding growth factor; Significant only in Liver Val 2
FGF14,Fibroblast Growth Factor 14,Secreted Factors,Pass (4/4 Organs),4/4,2/4,2/4,1/4,NO (Failed multi-organ Val 2),0/5,0.6736,Not Supported,Intracellular signaling protein; Significant only in Liver Val 2
SPARCL1,SPARC Like 1,ECM Glycoproteins,Pass (4/4 Organs),4/4,1/4,2/4,1/4,NO (Failed multi-organ Val 2),0/5,0.6156,Not Supported,Hevin; Matricellular regulator significant only in Liver Val 2
BMP1,Bone Morphogenetic Protein 1,ECM Regulators,Pass (4/4 Organs),4/4,1/4,2/4,1/4,NO (Failed multi-organ Val 2),0/5,0.5913,Not Supported,Procollagen C-proteinase; Significant only in Liver Val 2
CCL21,C-C Motif Chemokine Ligand 21,Secreted Factors,Pass (4/4 Organs),4/4,1/4,2/4,1/4,NO (Failed multi-organ Val 2),0/5,0.5675,Not Supported,Homeostatic chemokine; Significant only in Liver Val 2
COLEC11,Collectin Subfamily Member 11,Secreted Factors,Pass (4/4 Organs),4/4,2/4,2/4,1/4,NO (Failed multi-organ Val 2),0/5,0.5196,Not Supported,C-type lectin pattern recognition molecule; Significant only in Liver Val 2
